slug,question,answer,body,keywords,related,status
hindi-body-parts-vocabulary,What are the body parts in Hindi?,"सिर sir (head), आँख aankh (eye), नाक naak (nose), कान kaan (ear), मुँह munh (mouth), हाथ haath (hand or arm), पैर pair (foot or leg), पेट pet (stomach), दिल dil (heart), बाल baal (hair). Two catch learners out: हाथ covers hand and arm together, and पैर covers foot and leg — Hindi does not always split the limb the way English does.","## The list

**Head and face:** सिर (head), बाल (hair), आँख (eye), कान (ear), नाक (nose), मुँह (mouth), दाँत (tooth), जीभ (tongue), गला (throat)

**Body:** गर्दन (neck), कंधा (shoulder), हाथ (hand/arm), उँगली (finger), पेट (stomach), पीठ (back), पैर (foot/leg), घुटना (knee)

**Inside:** दिल (heart), दिमाग़ (brain), खून (blood)

## Plurals that trip people up

आँख becomes आँखें (aankhein) for eyes; कान stays कान. The -एं plural applies to feminine nouns, and body parts are split between genders with no shortcut. Learn each with its plural when you meet it.

## Saying it hurts

The construction is not ""I have a headache"" but ""to me, head-pain is happening"":

**मेरे सिर में दर्द है** (mere sir mein dard hai) — my head hurts.

Swap सिर for any body part and the sentence still works. दर्द (dard) is pain, and it is the same दर्द you have heard in a hundred Hindi songs.

## दिल is bigger than ""heart""

Anatomically it is the heart. In use it is feeling, courage, appetite, will. दिल नहीं लग रहा — ""my heart isn't settling"" — means bored, restless, homesick. You will hear it constantly.","body parts in hindi, hindi body vocabulary, sir aankh naak, hindi anatomy words, dard hindi","hindi-colours-list,hindi-words-every-beginner-should-know",live
how-to-ask-for-directions-in-hindi,How do you ask for directions in Hindi?,"The one sentence to memorise is …कहाँ है? (…kahaan hai?) — where is…? Point at a map or say the place name in front of it: स्टेशन कहाँ है? The answers you will hear back are सीधे (seedhe, straight), दाएँ (daayen, right), बाएँ (baayen, left) and पास (paas, near). Learn those four and you can follow most replies even when the rest goes past you.","## Ask

- **…कहाँ है?** (kahaan hai) — where is…?
- **यहाँ से कितनी दूर है?** (yahaan se kitni door hai) — how far from here?
- **कैसे जाऊँ?** (kaise jaaoon) — how do I get there?
- **क्या यह रास्ता सही है?** (kya yeh raasta sahi hai) — is this the right way?

## Understand the answer

- **सीधे** (seedhe) — straight on
- **दाएँ** (daayen) — right
- **बाएँ** (baayen) — left
- **मुड़िए** (mudiye) — turn
- **पास** (paas) — near · **दूर** (door) — far
- **यहाँ** (yahaan) — here · **वहाँ** (vahaan) — there
- **सामने** (saamne) — opposite, in front
- **पीछे** (peechhe) — behind

""सीधे जाइए, फिर दाएँ मुड़िए"" — go straight, then turn right. That is a complete, natural direction and you now understand it.

## A word of realism

Ask two people. In much of India it is considered unhelpful to say ""I don't know"", so you may get a confident answer from someone who is guessing. This is not dishonesty — it is a different idea of what politeness requires. Two matching answers is your confirmation.

## Useful places

स्टेशन (station), बस अड्डा (bus stand), बाज़ार (market), अस्पताल (hospital), होटल (hotel), बैंक (bank), शौचालय / टॉयलेट (toilet).

## The polite opener

Start with सुनिए (suniye) — ""listen"", but the courteous kind, like ""excuse me"". Then your question. It changes the whole tone of the exchange.","directions in hindi, ask directions hindi, kahan hai meaning, seedhe daayen baayen, hindi travel phrases","hindi-phrases-for-travelling-in-india,how-to-order-food-in-hindi",live
how-to-order-food-in-hindi,How do you order food in Hindi?,"…दीजिए (…deejiye) is the polite ""please give me"": एक चाय दीजिए, one tea please. For the bill, बिल दीजिए. To ask the price, कितने का है? (kitne ka hai?). And the sentence worth learning before any other if you have a dietary restriction: मुझे … नहीं चाहिए (mujhe … nahin chahiye) — I don't want …","## Ordering

- **एक चाय दीजिए** — one tea, please
- **दो रोटी और दाल दीजिए** — two rotis and dal, please
- **मेन्यू दिखाइए** (menu dikhaiye) — show me the menu
- **बिल दीजिए** (bill deejiye) — the bill, please
- **पानी** (paani) — water. **बोतल बंद पानी** — bottled water.

दीजिए is the polite imperative and it works with any noun. It is the single highest-value word on this page.

## Saying how spicy

- **तीखा** (teekha) — spicy hot
- **कम तीखा** (kam teekha) — less spicy
- **तीखा नहीं** (teekha nahin) — not spicy

Say it when you order, not after. And know that ""not spicy"" is a relative measurement.

## Dietary needs — say these clearly

- **मैं शाकाहारी हूँ** (main shaakaahaari hoon) — I am vegetarian
- **मुझे प्याज़ लहसुन नहीं चाहिए** — no onion or garlic
- **मुझे … से एलर्जी है** (mujhe … se allergy hai) — I am allergic to …

शाकाहारी is widely understood and respected. If it is an allergy rather than a preference, use the allergy sentence — it is taken more seriously.

## Prices

**कितने का है?** — how much is it? Answers come in numbers, so the numbers page is the natural next one.

## Afterwards

बहुत स्वादिष्ट था (bahut swaadisht tha) — it was delicious. Say it to the person who cooked it and watch what happens.","order food in hindi, hindi restaurant phrases, deejiye meaning, hindi food words, vegetarian in hindi","hindi-phrases-for-travelling-in-india,how-to-ask-for-directions-in-hindi",live
hindi-phrases-for-travelling-in-india,What Hindi phrases do I need for travelling in India?,"About fifteen phrases cover most of a trip: a greeting, thank you, how much, where is, too expensive, I don't understand, and a handful of numbers. English works in airports, hotels and big-city restaurants; Hindi starts mattering at the station, in the market, in a shared taxi, and in every small town — which is where the trip actually happens.","## The fifteen

**Basics**
- नमस्ते (namaste) — hello and goodbye
- शुक्रिया / धन्यवाद — thank you
- हाँ / नहीं (haan / nahin) — yes / no
- ठीक है (theek hai) — okay, fine, agreed

**Getting around**
- …कहाँ है? — where is …?
- कितनी दूर? (kitni door) — how far?
- रुकिए (rukiye) — stop, please
- चलिए (chaliye) — let's go

**Money**
- कितने का है? — how much?
- बहुत महँगा है (bahut mehnga hai) — that's very expensive
- कम कीजिए (kam keejiye) — make it less

**When stuck**
- मुझे समझ नहीं आया (mujhe samajh nahin aaya) — I didn't understand
- धीरे बोलिए (dheere boliye) — please speak slowly
- अंग्रेज़ी आती है? (angrezi aati hai) — do you speak English?
- मदद कीजिए (madad keejiye) — please help

## Why it is worth learning fifteen words

Prices change. Not always dramatically, but visibly. More than that, the temperature of the interaction changes — someone who greets you in Hindi is a guest rather than a tourist, and India responds to that distinction.

## The single best one

धीरे बोलिए. You will understand far more Hindi than you can produce, and the only thing standing between you and comprehension is speed. This sentence buys you the gap.

## What English covers

Airports, chain hotels, trains booked online, big-city restaurants, most under-30s in metros. What it does not cover: local buses, small-town markets, autorickshaws, rural anything — the parts people remember.","hindi phrases for travel, india travel hindi, basic hindi for tourists, useful hindi phrases, hindi for backpackers","how-to-order-food-in-hindi,how-to-ask-for-directions-in-hindi",live
how-to-say-i-am-learning-hindi,"How do you say ""I am learning Hindi"" in Hindi?","मैं हिंदी सीख रहा हूँ (main hindi seekh raha hoon) if you are male, मैं हिंदी सीख रही हूँ (seekh rahi hoon) if you are female. The verb changes with the gender of the speaker, not the listener — which is the first real grammar shock for most English speakers, and the reason this one sentence teaches more than it looks.","## The sentence, taken apart

- **मैं** (main) — I
- **हिंदी** — Hindi
- **सीख** (seekh) — learn, the verb stem
- **रहा / रही** (raha / rahi) — the continuous marker, and this is the part that carries gender
- **हूँ** (hoon) — am

## Why the gender is on the verb

In Hindi the verb agrees with the subject's gender. A man says *karta hoon*, a woman says *karti hoon*, for the identical action. It feels strange for about a week and then becomes automatic.

Get it wrong and you will still be understood perfectly. Nobody will correct you unkindly. But it is the single most audible marker of a beginner, so it is worth fixing early.

## Swap the verb, keep the frame

- मैं खाना बना रहा हूँ — I am cooking
- मैं किताब पढ़ रही हूँ — I am reading a book
- मैं काम कर रहा हूँ — I am working

Same skeleton every time: subject + object + verb stem + raha/rahi + hoon. Hindi puts the verb last, and once that clicks, long sentences stop being frightening.

## The one that gets you help

**मैं हिंदी सीख रहा हूँ, कृपया धीरे बोलिए** — I'm learning Hindi, please speak slowly.

Say that and almost anyone in India will slow down, simplify, and start helping you. It is the most useful sentence in this entire section.

## Related

- मुझे हिंदी नहीं आती (mujhe hindi nahin aati) — I don't know Hindi
- थोड़ी थोड़ी आती है (thodi thodi aati hai) — I know a little
- मैं समझ सकता हूँ, बोल नहीं सकता — I can understand, I can't speak. True for most learners for a long time, and worth being able to say.","i am learning hindi, main hindi seekh raha hoon, hindi gender verbs, learning hindi phrase","how-to-introduce-yourself-in-hindi,how-to-say-i-dont-understand-in-hindi",live
hindi-vs-sanskrit-difference,What is the difference between Hindi and Sanskrit?,"Sanskrit is the ancient classical language of India; Hindi is a modern language descended from it, roughly as Italian descends from Latin. They share the Devanagari script and a great deal of vocabulary, which makes them look closer than they are. Sanskrit has eight noun cases and a famously complex grammar; Hindi has simplified almost all of it. Learning Sanskrit will not let you speak Hindi.","## The relationship, plainly

Sanskrit → Prakrits → Apabhramsha → Hindi. Roughly two and a half thousand years of ordinary speech drifting away from a literary standard.

A useful comparison: Latin and Italian. An Italian speaker recognises a great deal of Latin and cannot read Cicero. That is about where a Hindi speaker stands with Sanskrit.

## Same script, different languages

Both are written in Devanagari, which is why they look so similar on the page. But English and French share an alphabet too.

## Grammar is where they part

| | Sanskrit | Hindi |
|---|---|---|
| Noun cases | eight | effectively two, plus postpositions |
| Verb forms | enormous | manageable |
| Word order | very free | subject-object-verb |
| Dual number | yes | no |

Sanskrit encodes relationships in word endings. Hindi uses small separate words — का, को, से, में — placed after the noun. That single shift is most of what makes Hindi learnable.

## Shared vocabulary

Words borrowed straight from Sanskrit are called **तत्सम** (tatsam) — धन्यवाद, विद्यालय, राष्ट्र. Words worn down over time are **तद्भव** (tadbhav) — दूध from दुग्ध, हाथ from हस्त.

Formal Hindi leans tatsam; conversational Hindi leans tadbhav and Persian. A news broadcast and a market conversation can feel like different registers of the same language, because in vocabulary terms they nearly are.

## Which should you learn?

To talk to people, travel, watch films, work in north India: Hindi. To read scripture, study philology or chant: Sanskrit. They are different projects, and Hindi is by a wide margin the easier of the two.","hindi vs sanskrit, difference between hindi and sanskrit, is sanskrit hindi, devanagari sanskrit hindi","hindi-or-urdu-which-to-learn,is-hindi-hard-to-learn",live
what-does-ji-mean-in-hindi,"What does ""ji"" mean in Hindi?","जी (ji) is a respect marker with no English equivalent. Added after a name or title it makes it polite — नमस्ते जी, पापा जी, गांधी जी. On its own it means a soft ""yes"". Before हाँ or नहीं it makes them formal: जी हाँ, जी नहीं. It is the smallest word in Hindi and one of the most important.","## The four jobs it does

**1. After a name — respect.**
शर्मा जी, दादी जी, गांधी जी. Attach it to almost any name and the sentence becomes courteous. Overusing it is not a mistake; omitting it with an elder can be.

**2. On its own — a polite yes.**
Someone calls your name, you answer ""जी?"" — meaning ""yes?"" or ""you called?"". Warmer than हाँ and much more common than learners expect.

**3. Before yes and no — formality.**
जी हाँ (ji haan) and जी नहीं (ji nahin). This is the easiest politeness upgrade in the whole language: two extra letters and a flat answer becomes a respectful one.

**4. After a greeting — warmth.**
नमस्ते जी. Small, and immediately noticeable.

## Where it comes from

Probably from जीव, ""life"" or ""soul"" — so addressing the person, not the body. Whatever the etymology, it now functions as pure social lubricant.

## When not to use it

With close friends and children it sounds oddly stiff. Between peers of the same age it is unnecessary. The rule of thumb: elder, stranger, or anyone in a position of respect — use जी. Friend — do not.

## The learner's shortcut

If you are unsure how formal to be, add जी. Being slightly too polite in Hindi costs nothing. Being too casual with an elder is one of the few things that genuinely registers as rude.","ji meaning hindi, what does ji mean, hindi respect words, ji haan meaning, hindi politeness","what-does-acha-mean-in-hindi,how-to-say-please-in-hindi",live
hindi-postpositions-ka-ki-ke,"When do you use ka, ki and ke in Hindi?","का, की and के all mean ""of"" or possessive 's — and which one you use depends on the gender and number of the thing being POSSESSED, not the owner. राम का बेटा (Ram's son, masculine), राम की बेटी (Ram's daughter, feminine), राम के बेटे (Ram's sons, plural). The owner never changes the ending. Getting this backwards is the most common beginner mistake in Hindi.","## The rule, stated once

Look at the noun **after** का/की/के. That noun decides.

- masculine singular → **का**
- feminine (singular or plural) → **की**
- masculine plural, or before a postposition → **के**

## Worked examples

- राम **का** बेटा — Ram's son (बेटा is masculine singular)
- राम **की** बेटी — Ram's daughter (बेटी is feminine)
- राम **के** बेटे — Ram's sons (plural masculine)
- सीता **का** बेटा — Sita's son. **Still का.** The owner is female and it changes nothing.

That last line is the whole lesson. Learners instinctively match the ending to the owner, because that is what English possessives feel like. Hindi does not care who owns it.

## With pronouns

मेरा / मेरी / मेरे (my), तुम्हारा / तुम्हारी / तुम्हारे (your), उसका / उसकी / उसके (his or her). Same three endings, same rule — and note उसका covers both ""his"" and ""her"", because again, the owner's gender is irrelevant.

मेरा नाम (my name — नाम is masculine), मेरी किताब (my book — किताब is feminine).

## Why it is worth drilling

का/की/के appear in almost every sentence of any length. Fix this and your Hindi immediately sounds several months more advanced. It is the highest-return grammar point in the language, and it is one rule.

## Quick self-test

तुम्हार__ बहन — your sister. बहन is feminine, so: तुम्हारी बहन.","ka ki ke hindi, hindi possessive, hindi grammar ka ki ke, mera meri mere, hindi postpositions","hindi-word-order-explained,is-hindi-hard-to-learn",live
hindi-word-order-explained,What is the word order in Hindi?,"Hindi is subject-object-verb: the verb goes last. ""I eat rice"" is मैं चावल खाता हूँ — literally ""I rice eat"". Adjectives come before nouns as in English, but the little joining words come AFTER the noun, which is why they are called postpositions rather than prepositions. Once the verb-last habit forms, long Hindi sentences stop feeling like puzzles.","## SOV, and why it matters

English: I **eat** rice.
Hindi: मैं चावल **खाता हूँ** — I rice eat.

Around 45% of the world's languages do it this way, including Japanese, Korean and Turkish. English is the outlier, not Hindi.

The practical consequence: in a long Hindi sentence the verb — the thing that tells you what actually happened — arrives last. Listeners have to hold the whole sentence before it resolves. That is why Hindi feels fast to a beginner even at normal speed.

## Postpositions, not prepositions

English puts them before: **in** the house, **to** Ram, **from** Delhi.
Hindi puts them after: घर **में**, राम **को**, दिल्ली **से**.

The common ones: में (in), पर (on), से (from/with/by), को (to), का/की/के (of), तक (until), के लिए (for).

## Where the rest goes

- Adjective before noun: **लाल** किताब, red book — same as English
- Time and place early: **कल** मैं दिल्ली जाऊँगा — tomorrow I Delhi will-go
- Question words sit where the answer would: तुम **क्या** खा रहे हो? — you what eating are?

That last point is quietly useful. Hindi does not shuffle the sentence to ask a question the way English does.

## Flexibility

Word order can move for emphasis, because the postpositions keep the roles clear. चावल मैं खाता हूँ puts the stress on the rice. Beginners should stay with SOV until it is automatic; the freedom becomes available later.

## The habit to build

When you form a sentence, decide the verb last. Say the who, then the what, then the doing. Fight the English instinct for a fortnight and it stops being effortful.","hindi word order, hindi sentence structure, sov hindi, hindi grammar basics, postpositions hindi","hindi-postpositions-ka-ki-ke,is-hindi-hard-to-learn",live
best-hindi-movies-to-learn-hindi,What are the best Hindi movies for learning Hindi?,"Pick films with ordinary conversation rather than poetry or heavy dialogue: 3 Idiots, Queen, Piku, Dangal and Chhichhore all use everyday spoken Hindi at a followable pace. Watch with Hindi subtitles if you can read Devanagari, English subtitles if you cannot — and rewatch a favourite rather than starting a new film every time. Repetition is what actually moves listening forward.","## Why film is genuinely useful

You get real speed, real register, real slang, and the emotional context that makes vocabulary stick. What a textbook cannot give you is the sound of someone irritated, teasing or in a hurry.

## Good starting films

- **3 Idiots** — clear dialogue, campus Hindi, widely subtitled
- **Queen** — a lot of simple everyday speech
- **Piku** — family conversation, wonderfully ordinary language
- **Dangal** — Haryanvi-flavoured, slower, very repetitive vocabulary
- **Chhichhore** — student slang, informal registers
- **Taare Zameen Par** — gentle pace, clear enunciation

## What to avoid at first

Period films and heavy poetic dialogue (much of Sanjay Leela Bhansali), anything leaning on Urdu-heavy shayari, and thrillers with mumbling. Beautiful, and not where to start.

## How to actually watch

1. First pass: English subtitles, just enjoy it.
2. Second pass: Hindi subtitles, pause on lines you almost caught.
3. Third pass: no subtitles for scenes you now know.

Rewatching one film three times beats watching three films once. The second viewing is where the learning happens.

## Series work too

**Panchayat** is the single best recommendation for learners — slow, rural, everyday Hindi, short episodes, and genuinely good. **Kota Factory** for student speech.

## The honest limit

Film Hindi will not teach you to speak. It builds listening, vocabulary and an ear for rhythm — and it will make you feel more fluent than you are, because recognition is easier than production. Pair it with someone who makes you talk.","hindi movies to learn hindi, best bollywood films for learners, learn hindi with movies, panchayat hindi","is-duolingo-good-for-hindi,best-way-to-learn-hindi-for-beginners",live
